VivadoVersion,FpgaPart,TopModule,TargetClk,EstimatedClk,BestLatency,WorstLatency,IIntervalMin,IIntevalMax,ResourceBram,ResourceDsp,ResourceFf,ResourceLut,GitRevision,Arch,Model,ReuseFactor,ExecutionTime
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,56,58,20,20,724,1000,83174,458339,e06c25d,solution1,2layer_100x100,20,1375.48
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,64,66,25,25,634,800,70414,377803,e06c25d,solution1,2layer_100x100,25,1128.82
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,113,115,50,50,456,400,45334,220031,e06c25d,solution1,2layer_100x100,50,756.69
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,213,215,100,100,368,200,37352,124095,e06c25d,solution1,2layer_100x100,100,284.03
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,20216,20218,10100,10100,368,200,43469,869705,e06c25d,solution1,2layer_100x100,101,457.72
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,617,619,173,173,330,232,129592,809120,e06c25d,solution1,2layer_100x100,173,10302.7
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,619,621,176,176,330,228,128256,795261,e06c25d,solution1,2layer_100x100,176,10524.6
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,623,625,182,182,328,220,125228,763439,e06c25d,solution1,2layer_100x100,182,9148.61
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,20281,20283,10065,10065,328,220,102418,732373,e06c25d,solution1,2layer_100x100,183,10719
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,627,629,186,186,326,216,124351,761625,e06c25d,solution1,2layer_100x100,186,9168.31
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,20453,20455,10152,10152,326,216,101075,646314,e06c25d,solution1,2layer_100x100,188,10611.4
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,629,631,189,189,326,212,122664,739652,e06c25d,solution1,2layer_100x100,189,8532.13
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,20287,20289,10070,10070,326,212,99686,708083,e06c25d,solution1,2layer_100x100,190,10369.5
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,20393,20395,10123,10123,326,212,99686,708083,e06c25d,solution1,2layer_100x100,191,10054.6
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,20499,20501,10176,10176,326,212,99686,708083,e06c25d,solution1,2layer_100x100,192,9941.06
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,633,635,193,193,324,208,121503,734057,e06c25d,solution1,2layer_100x100,193,8349.65
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,20321,20323,10088,10088,324,208,98337,624596,e06c25d,solution1,2layer_100x100,194,9400.92
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,20425,20427,10140,10140,324,208,98337,624596,e06c25d,solution1,2layer_100x100,195,9385.65
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,20529,20531,10192,10192,324,208,98337,624596,e06c25d,solution1,2layer_100x100,196,9212.82
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,637,639,197,197,324,204,120342,724304,e06c25d,solution1,2layer_100x100,197,7701.24
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,20339,20341,10098,10098,324,204,96954,683793,e06c25d,solution1,2layer_100x100,198,9272.08
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,20441,20443,10149,10149,324,204,96954,683793,e06c25d,solution1,2layer_100x100,199,8964.26
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,639,641,200,200,324,200,118450,696969,e06c25d,solution1,2layer_100x100,200,7217.29
