Model,ReuseFactor,VivadoHlsExitVal,VivadoExitVal,TotalExecutionTime,Timeout,TopModule,Arch,VivadoVersion,FpgaPart,GitRevision,VivadoHlsTargetClk,VivadoHlsEstimatedClk,VivadoHlsBestLatency,VivadoHlsWorstLatency,VivadoHlsIIntervalMin,VivadoHlsIIntevalMax,VivadoHlsResourceBram,VivadoHlsResourceDsp,VivadoHlsResourceFf,VivadoHlsResourceLut,VivadoClk,VivadoResourceBram,VivadoResourceDsp,VivadoResourceFf,VivadoResourceLut,VivadoHlsExecutionTime,VivadoExecutionTime
KERAS_dense_16x200x200x200x200x200x5,1,1,1,446.822,28800,?,solution1,?,?,daaafa8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x200x200x200x200x200x5,2,1,1,448.026,28800,?,solution1,?,?,daaafa8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x200x200x200x200x200x5,4,-1,1,28800.736,28800,?,solution1,?,?,daaafa8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x200x200x200x200x200x5,5,-1,1,28800.789,28800,?,solution1,?,?,daaafa8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x200x200x200x200x200x5,8,-1,1,28800.838,28800,?,solution1,?,?,daaafa8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x200x200x200x200x200x5,10,-1,1,28800.895,28800,?,solution1,?,?,daaafa8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x200x200x200x200x200x5,16,-1,1,28801.370,28800,?,solution1,?,?,daaafa8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x200x200x200x200x200x5,20,-1,1,28801.549,28800,?,solution1,?,?,daaafa8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x200x200x200x200x200x5,25,-1,1,28800.925,28800,?,solution1,?,?,daaafa8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x200x200x200x200x200x5,32,-1,1,28801.335,28800,?,solution1,?,?,daaafa8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x200x200x200x200x200x5,40,-1,1,28801.666,28800,?,solution1,?,?,daaafa8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x200x200x200x200x200x5,50,-1,1,28801.971,28800,?,solution1,?,?,daaafa8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x200x200x200x200x200x5,64,-1,1,28800.546,28800,?,solution1,?,?,daaafa8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x200x200x200x200x200x5,80,1,1,24165.457,28800,?,solution1,?,?,daaafa8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x200x200x200x200x200x5,100,-1,1,28800.882,28800,?,solution1,?,?,daaafa8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x200x200x200x200x200x5,125,-1,1,28801.924,28800,?,solution1,?,?,daaafa8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x200x200x200x200x200x5,160,-1,1,28801.891,28800,?,solution1,?,?,daaafa8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x200x200x200x200x200x5,200,0,1,22431.166,28800,?,solution1,?,?,daaafa8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,22362,54
KERAS_dense_16x200x200x200x200x200x5,250,-1,1,28801.593,28800,?,solution1,?,?,daaafa8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x200x200x200x200x200x5,320,-1,1,28801.920,28800,?,solution1,?,?,daaafa8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x200x200x200x200x200x5,400,-1,1,28801.424,28800,?,solution1,?,?,daaafa8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x200x200x200x200x200x5,500,-1,1,28800.790,28800,?,solution1,?,?,daaafa8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x200x200x200x200x200x5,625,-1,1,28800.565,28800,?,solution1,?,?,daaafa8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x200x200x200x200x200x5,800,-1,1,28801.440,28800,?,solution1,?,?,daaafa8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x200x200x200x200x200x5,1000,-1,1,28801.287,28800,?,solution1,?,?,daaafa8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x200x200x200x200x200x5,1250,-1,1,28801.180,28800,?,solution1,?,?,daaafa8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x200x200x200x200x200x5,1600,-1,1,28801.227,28800,?,solution1,?,?,daaafa8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x200x200x200x200x200x5,2000,-1,1,28800.878,28800,?,solution1,?,?,daaafa8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x200x200x200x200x200x5,2500,0,1,25315.577,28800,?,solution1,?,?,daaafa8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,25250,50
KERAS_dense_16x200x200x200x200x200x5,4000,0,1,11524.707,28800,?,solution1,?,?,daaafa8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,11463,49
KERAS_dense_16x200x200x200x200x200x5,5000,0,1,9121.931,28800,?,solution1,?,?,daaafa8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,9061,49
KERAS_dense_16x200x200x200x200x200x5,8000,0,1,6835.664,28800,?,solution1,?,?,daaafa8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,6774,50
KERAS_dense_16x200x200x200x200x200x5,10000,0,1,5420.372,28800,?,solution1,?,?,daaafa8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5362,47
KERAS_dense_16x200x200x200x200x200x5,20000,0,1,4455.207,28800,?,solution1,?,?,daaafa8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,4397,47
KERAS_dense_16x200x200x200x200x200x5,40000,0,1,4116.107,28800,?,solution1,?,?,daaafa8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,4061,45
